unicode,Cust_IMID,cust_id
1605053754,1963,875
168167,40,3335
168886,40,3335
30000089,34276,29126
30000299,953,1635
30000496,52,1292
30001072,140,1325
30001157,11648,6040
30001178,36554,32851
30001185,64,1296
30001378,7967,4849
30001437,16530,8709
30001529,7967,4849
30001533,11251,6060
30001547,7967,4849
30001573,7967,4849
30001576,1817,647
30001757,13844,7142
30001815,11648,6040
30001817,10888,5780
30001846,18551,10326
30001953,140,1325
30002074,11388,6419
30002195,11388,6419
30002545,20922,13559
30003143,11335,9136
30003180,18319,10364
30003186,19085,15562
30003234,19018,16556
30003270,14470,15593
30003327,19516,11383
30003398,40,3335
30003458,10888,5780
30003464,6468,3709
30003465,10888,5780
30003467,6468,3709
30003467,6468,3709
30003470,6468,3709
30003470,6468,3709
30003485,26985,20135
30003560,26518,19623
30003621,140,1325
30003641,40,3335
30003671,15898,11007
30003721,13638,7992
30003722,29657,23377
30003736,24314,17098
30003775,21067,13173
30003792,32406,26596
30003809,828,600
30003812,10699,5678
30003820,32261,26412
30003827,21677,21619
30003827,21677,21619
30003832,24210,17789
30003845,27028,20178
30003888,27529,20868
30003890,33050,27340
30003919,33360,28410
30003928,31388,28354
30003937,13532,6958
30003942,18837,10682
30003948,30134,24170
30003965,11607,7500
30003979,26645,27286
30003981,26645,27286
30003989,26645,27286
30003990,26645,27286
30003992,26645,27286
30003993,33360,28410
30003994,26645,27286
30003995,24067,16663
30003997,20288,12151
30004002,40,3335
30004004,24210,17789
30004004,24210,17789
30004026,28556,22057
30004029,10699,5678
30004038,28556,22057
30004063,28061,21578
30004064,32367,26979
30004072,33661,28404
30004075,29672,23406
30004082,28556,22057
30004092,10699,5678
30004093,32367,26979
30004103,12749,6887
30004118,17635,10540
30004119,29989,24629
30004143,8826,5114
30004173,30086,25193
30004181,30086,25193
30004183,30086,25193
30004201,30086,25193
30004204,30086,25193
30004217,14989,26181
30004218,33724,28498
30004231,13681,10440
30004238,140,1325
30004257,22011,19214
30004276,11645,6041
30004294,36678,33763
30004331,26645,27286
30004338,32886,27245
30004351,30086,25193
30004357,30086,25193
30004358,30086,25193
30004359,30086,25193
30004386,33633,28331
30004390,5588,4004
30004392,11388,6419
30004393,30086,25193
30004403,30086,25193
30004405,30086,25193
30004411,30086,25193
30004417,11388,6419
30004418,13496,13649
30004424,28960,29312
30004433,28960,29312
30004436,3774,5675
30004438,14004,7162
30004442,31765,25629
30004469,5316,3475
30004474,12749,6887
30004477,32870,27161
30004481,13681,10440
30004492,11388,6419
30004502,7208,4083
30004530,7112,27237
30004540,10701,5704
30004570,21113,13233
30004577,29343,28318
30004585,11543,6030
30004598,13681,10440
30004604,25109,24231
30004616,26630,19817
30004619,11607,7500
30004643,26645,27286
30004644,26645,27286
30004645,11226,5957
30004652,20727,12798
30004670,15178,24084
30004704,11212,5952
30004705,11226,5957
30004707,11226,5957
30004731,29343,28318
30004734,33477,28165
30004742,33477,28165
30004745,12749,6887
30004761,21113,13233
30004764,21113,13233
30004819,11231,5930
30004825,11543,6030
30004831,10396,5867
30004833,21113,13233
30004839,17837,24894
30004840,17837,24894
30004859,13681,10440
30004865,1303,1728
30004868,13333,6912
30004870,13681,10440
30004889,13681,10440
30004891,13681,10440
30004914,21113,13233
30004918,13681,10440
30004921,13681,10440
30004932,21113,13233
30004937,22748,16698
30004938,28438,22385
30004950,28801,28255
30004951,30087,24510
30004959,33767,28501
30004960,25109,24231
30004965,32309,27039
30004969,32843,27129
30004983,16530,8709
30004988,27992,21321
30004992,32843,27129
30005006,5316,3475
30005015,32843,27129
30005028,26645,27286
30005039,11212,5952
30005054,25109,24231
30005058,14984,8189
30005059,25109,24231
30005062,32843,27129
30005071,21376,14166
30005076,14984,8189
30005082,25109,24231
30005102,12050,6427
30005108,32843,27129
30005148,11212,5952
30005163,29989,24629
30005164,29989,24629
30005170,28061,21578
30005171,11212,5952
30005190,11212,5952
30005203,11607,7500
30005214,12050,6427
30005218,12050,6427
30005220,12050,6427
30005221,12050,6427
30005223,12050,6427
30005228,676,469
30005239,12749,6887
30005306,4513,5908
30005321,11226,5957
30005363,28186,21514
30005383,11212,5952
30005462,13543,7253
30005462,13543,7253
30005578,21089,13206
30005617,11226,5957
30005630,10396,5867
30005657,13543,7253
30005657,13543,7253
30005721,32972,28690
30005722,32972,28690
30005724,26145,24180
30005742,18133,10018
30005743,19672,15656
30005750,12477,6538
30005761,32972,28690
30005771,20444,12627
30005778,13681,10440
30005793,30134,24170
30005815,11212,5952
30005846,11212,5952
30005851,10701,5704
30005852,11212,5952
30005864,7200,4036
30005867,18436,10527
30005888,23500,15611
30005893,11759,23311
30005899,11759,23311
30005905,10701,5704
30005936,11251,6060
30005945,11212,5952
30005946,10701,5704
30006005,11212,5952
30006007,18965,10788
30006019,14986,7854
30006025,11251,6060
30006044,33865,28653
30006047,33865,28653
30006062,21660,18823
