unicode,cust_id,starttime,endtime,startfuellevel,endfuellevel,amount
40005660,1320,2025-05-05 12:45:40,2025-05-05 12:54:39,26.21,80.5,54.29
40005660,1320,2025-05-09 12:59:04,2025-05-09 13:06:23,28.19,87.23,59.04
40008438,1320,2025-05-02 09:27:35,2025-05-02 09:34:26,17.46,100.0,82.54
40008438,1320,2025-05-03 16:19:25,2025-05-03 16:24:50,64.44,100.0,35.56
40008438,1320,2025-05-06 12:39:09,2025-05-06 12:45:20,19.95,100.0,80.05
40008438,1320,2025-05-09 09:16:57,2025-05-09 09:22:32,20.68,100.0,79.32
40008438,1320,2025-05-12 13:47:29,2025-05-12 13:53:13,27.33,100.0,72.67
40008440,1320,2025-05-02 08:15:52,2025-05-02 08:23:13,35.34,100.0,64.66
40008440,1320,2025-05-03 05:17:32,2025-05-03 05:26:31,50.67,100.0,49.33
40008440,1320,2025-05-04 21:30:37,2025-05-04 21:40:57,39.66,100.0,60.34
40008440,1320,2025-05-05 01:53:19,2025-05-05 02:01:48,40.59,100.0,59.41
40008440,1320,2025-05-05 17:21:46,2025-05-05 17:28:22,69.57,100.0,30.43
40008440,1320,2025-05-06 15:16:05,2025-05-06 15:24:31,22.37,100.0,77.63
40008440,1320,2025-05-08 05:16:46,2025-05-08 05:27:08,52.21,100.0,47.79
40008440,1320,2025-05-09 09:34:49,2025-05-09 09:42:05,29.35,100.0,70.65
40008440,1320,2025-05-12 16:28:30,2025-05-12 16:36:03,19.51,100.0,80.49
40008478,1320,2025-05-02 12:07:16,2025-05-02 12:13:17,26.4,99.0,72.6
40008478,1320,2025-05-05 14:08:40,2025-05-05 14:14:10,15.16,99.0,83.84
40008478,1320,2025-05-08 10:04:15,2025-05-08 10:10:46,24.68,99.0,74.32
40008478,1320,2025-05-10 10:31:30,2025-05-10 10:39:00,35.3,99.0,63.7
40008478,1320,2025-05-14 10:10:43,2025-05-14 10:15:43,29.88,99.0,69.12
40008566,1320,2025-05-03 15:42:06,2025-05-03 15:52:16,34.98,74.47,39.49
40008566,1320,2025-05-06 15:38:12,2025-05-06 15:44:32,28.39,73.55,45.16
40008566,1320,2025-05-08 07:59:03,2025-05-08 08:05:56,39.27,74.49,35.22
40008566,1320,2025-05-09 17:37:49,2025-05-09 17:45:21,29.69,74.05,44.36
40008566,1320,2025-05-12 14:32:12,2025-05-12 14:39:55,36.14,75.0,38.86
40008566,1320,2025-05-14 12:54:55,2025-05-14 12:57:55,11.85,72.84,60.99
